gene,class,gene_name
YHR123W,background,EPT1
YHR124W,background,NDT80
YHR125W,background,YHR125W
YHR126C,background,ANS1
YHR127W,background,YHR127W
YHR128W,background,FUR1
YHR129C,background,ARP1
YHR130C,background,YHR130C
YHR131C,background,YHR131C
YHR132C,background,ECM14
YHR133C,background,NSG1
YHR134W,background,WSS1
YHR135C,background,YCK1
YHR136C,background,SPL2
YHR137W,background,ARO9
YHR138C,background,YHR138C
YHR139C,background,SPS100
YHR140W,background,YHR140W
YHR141C,entropy_specific,RPL42B
YHR142W,background,CHS7
YHR143W-A,background,RPC10
YHR143W,background,DSE2
YHR144C,background,DCD1
YHR146W,background,CRP1
YHR147C,background,MRPL6
YHR148W,background,IMP3
YHR149C,background,SKG6
YHR150W,background,PEX28
YHR151C,background,MTC6
YHR152W,background,SPO12
YHR153C,background,SPO16
YHR154W,background,RTT107
YHR155W,background,LAM1
YHR156C,background,LIN1
YHR157W,background,REC104
YHR158C,background,KEL1
YHR159W,background,TDA11
YHR160C,background,PEX18
YHR161C,background,YAP1801
YHR162W,background,MPC2
YHR163W,background,SOL3
YHR164C,background,DNA2
